lat_bin,lon_bin,center_lat,center_lon,fire_count,max_conf,mean_conf,max_frp,mean_frp,risk_class,risk_code,clc_code,lc_group,burnable,label,pred_label,pred_proba_high,dist_to_road_m,slope_deg,ground_access_class,ground_access_score,road_dist_class,slope_class,ground_access_score_v1,ground_access_class_v1,ground_reason_v1,air_access_score_v1,air_access_class_v1,air_reason_v1
40,25,38.7208,27.035,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,1521.9498645227814,15.811874389648438,LOW,1,FAR,MEDIUM,3,HIGH,"ground: dist>1000m, 10°<slope<=20° => score=max(road,slope)=3",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
40,26,38.7208,27.065,0,0.0,0.0,0.0,0.0,NO_FIRE,0,29,OTHER,1,0,0,0.0,1167.3379764743477,14.580577850341797,LOW,1,FAR,MEDIUM,3,HIGH,"ground: dist>1000m, 10°<slope<=20° => score=max(road,slope)=3",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
40,27,38.7208,27.095,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,86.1351155158901,15.264381408691406,MEDIUM,2,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
40,28,38.7208,27.125,0,0.0,0.0,0.0,0.0,NO_FIRE,0,29,OTHER,1,0,0,0.0,249.44517156132144,29.31302070617676,LOW,1,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
40,29,38.7208,27.155,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,144.78464831477658,8.64732837677002,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
40,30,38.7208,27.185,0,0.0,0.0,0.0,0.0,NO_FIRE,0,24,OTHER,1,0,0,0.0,14.082164780650965,18.36603546142578,MEDIUM,2,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
40,31,38.7208,27.215,0,0.0,0.0,0.0,0.0,NO_FIRE,0,29,OTHER,1,0,0,0.0,70.35652393818054,21.100509643554688,MEDIUM,2,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
41,17,38.7408,26.795,0,0.0,0.0,0.0,0.0,NO_FIRE,0,24,OTHER,1,0,0,0.0,277.8911698719688,25.09722900390625,LOW,1,MID,HIGH,3,HIGH,"ground: 250m<dist<=1000m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
41,18,38.7408,26.825,1,54.0,54.0,20.2,20.2,LOW,1,29,OTHER,1,0,0,0.0025,544.450689066257,10.091970443725586,LOW,1,MID,MEDIUM,2,MEDIUM,"ground: 250m<dist<=1000m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
41,19,38.7408,26.855,0,0.0,0.0,0.0,0.0,NO_FIRE,0,17,OTHER,1,0,0,0.0,175.5539317915334,8.327604293823242,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
41,21,38.7408,26.915,2,69.0,68.0,55.9,31.8,LOW,1,18,OTHER,1,0,0,0.0225,174.57577780045722,6.176621437072754,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
41,22,38.7408,26.945,294,84.0,52.479592,43.5,6.957823,HIGH,2,3,OTHER,1,1,1,0.7125,401.134313781666,2.2646946907043457,MEDIUM,2,MID,LOW,2,MEDIUM,"ground: 250m<dist<=1000m, slope<=10° => score=max(road,slope)=2",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
41,23,38.7408,26.975,0,0.0,0.0,0.0,0.0,NO_FIRE,0,12,OTHER,1,0,0,0.0,165.9593230070141,4.324975967407227,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
41,24,38.7408,27.005,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,2.835434003020873,11.395696640014648,HIGH,3,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
41,25,38.7408,27.035,0,0.0,0.0,0.0,0.0,NO_FIRE,0,26,OTHER,1,0,0,0.0,1003.095275248655,14.030245780944824,LOW,1,FAR,MEDIUM,3,HIGH,"ground: dist>1000m, 10°<slope<=20° => score=max(road,slope)=3",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
41,26,38.7408,27.065,1,92.0,92.0,20.2,20.2,HIGH,2,21,OTHER,1,1,1,0.9975,982.0422881248496,21.65670585632324,LOW,1,MID,HIGH,3,HIGH,"ground: 250m<dist<=1000m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
41,27,38.7408,27.095,1,100.0,100.0,117.3,117.3,HIGH,2,23,OTHER,1,1,1,1.0,1803.3588074550064,13.33969497680664,LOW,1,FAR,MEDIUM,3,HIGH,"ground: dist>1000m, 10°<slope<=20° => score=max(road,slope)=3",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
41,28,38.7408,27.125,0,0.0,0.0,0.0,0.0,NO_FIRE,0,23,OTHER,1,0,0,0.0,177.963079543842,29.27020835876465,LOW,1,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
41,29,38.7408,27.155,0,0.0,0.0,0.0,0.0,NO_FIRE,0,21,OTHER,1,0,0,0.0,27.29548395505954,27.66640281677246,LOW,1,NEAR,HIGH,3,HIGH,"ground: dist<=250m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
41,30,38.7408,27.185,0,0.0,0.0,0.0,0.0,NO_FIRE,0,21,OTHER,1,0,0,0.0,47.0462531258316,6.752665519714356,HIGH,3,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
41,31,38.7408,27.215,0,0.0,0.0,0.0,0.0,NO_FIRE,0,24,OTHER,1,0,0,0.0,225.5453508640377,2.539029836654663,MEDIUM,2,NEAR,LOW,1,LOW,"ground: dist<=250m, slope<=10° => score=max(road,slope)=1",1,LOW,air(v1): slope<=10° => score=1 (slope-based; no landing/base data)
42,18,38.7608,26.825,0,0.0,0.0,0.0,0.0,NO_FIRE,0,18,OTHER,1,0,0,0.0,412.4400870324995,20.620655059814453,MEDIUM,2,MID,HIGH,3,HIGH,"ground: 250m<dist<=1000m, slope>20° => score=max(road,slope)=3",3,HIGH,air(v1): slope>20° => score=3 (slope-based; no landing/base data)
42,21,38.7608,26.915,0,0.0,0.0,0.0,0.0,NO_FIRE,0,25,OTHER,1,0,0,0.0,93.82866265580532,18.004613876342773,MEDIUM,2,NEAR,MEDIUM,2,MEDIUM,"ground: dist<=250m, 10°<slope<=20° => score=max(road,slope)=2",2,MEDIUM,air(v1): 10°<slope<=20° => score=2 (slope-based; no landing/base data)
