id,risk_class,lat_bin,lon_bin,center_lat,center_lon
301,HIGH,21,31,38.3408,27.215
302,LOW,21,32,38.3408,27.245
303,LOW,21,38,38.3408,27.425
304,LOW,21,43,38.3408,27.575
305,LOW,21,51,38.3408,27.815
306,HIGH,22,6,38.3608,26.465
307,HIGH,22,7,38.3608,26.495
308,HIGH,22,8,38.3608,26.525
309,HIGH,22,15,38.3608,26.735
310,LOW,22,16,38.3608,26.765
311,LOW,22,26,38.3608,27.065
312,LOW,22,27,38.3608,27.095
313,LOW,22,28,38.3608,27.125
314,LOW,22,30,38.3608,27.185
315,LOW,22,31,38.3608,27.215
316,HIGH,22,32,38.3608,27.245
317,HIGH,23,7,38.3808,26.495
318,HIGH,23,8,38.3808,26.525
319,LOW,23,31,38.3808,27.215
320,LOW,23,34,38.3808,27.305
321,LOW,23,61,38.3808,28.115
322,HIGH,24,8,38.4008,26.525
323,HIGH,24,9,38.4008,26.555
324,HIGH,24,10,38.4008,26.585
325,LOW,24,25,38.4008,27.035
326,LOW,24,30,38.4008,27.185
327,HIGH,25,8,38.4208,26.525
328,HIGH,25,9,38.4208,26.555
329,LOW,25,30,38.4208,27.185
330,HIGH,25,32,38.4208,27.245
331,LOW,25,38,38.4208,27.425
332,LOW,25,42,38.4208,27.545
333,HIGH,26,8,38.4408,26.525
334,HIGH,26,9,38.4408,26.555
335,HIGH,26,33,38.4408,27.275
336,LOW,26,34,38.4408,27.305
337,LOW,26,36,38.4408,27.365
338,LOW,26,38,38.4408,27.425
339,LOW,26,40,38.4408,27.485
340,LOW,26,46,38.4408,27.665
341,HIGH,27,7,38.4608,26.495
342,HIGH,27,8,38.4608,26.525
343,LOW,27,33,38.4608,27.275
344,LOW,27,35,38.4608,27.335
345,LOW,27,36,38.4608,27.365
346,LOW,27,37,38.4608,27.395
347,LOW,27,39,38.4608,27.455
348,LOW,27,40,38.4608,27.485
349,LOW,28,9,38.4808,26.555
350,LOW,28,25,38.4808,27.035
351,HIGH,28,28,38.4808,27.125
352,HIGH,28,29,38.4808,27.155
353,HIGH,28,34,38.4808,27.305
354,HIGH,28,35,38.4808,27.335
355,HIGH,28,36,38.4808,27.365
356,LOW,29,25,38.5008,27.035
357,HIGH,29,27,38.5008,27.095
358,HIGH,29,28,38.5008,27.125
359,HIGH,29,29,38.5008,27.155
360,HIGH,29,30,38.5008,27.185
361,LOW,29,31,38.5008,27.215
362,HIGH,29,34,38.5008,27.305
363,HIGH,29,35,38.5008,27.335
364,LOW,30,23,38.5208,26.975
365,LOW,30,25,38.5208,27.035
366,HIGH,30,26,38.5208,27.065
367,HIGH,30,27,38.5208,27.095
368,HIGH,30,28,38.5208,27.125
369,HIGH,30,29,38.5208,27.155
370,HIGH,30,30,38.5208,27.185
371,LOW,30,31,38.5208,27.215
372,LOW,30,32,38.5208,27.245
373,LOW,30,33,38.5208,27.275
374,LOW,30,36,38.5208,27.365
375,LOW,30,41,38.5208,27.515
376,LOW,31,25,38.5408,27.035
377,HIGH,31,26,38.5408,27.065
378,HIGH,31,29,38.5408,27.155
379,HIGH,31,30,38.5408,27.185
380,HIGH,31,33,38.5408,27.275
381,LOW,31,34,38.5408,27.305
382,LOW,32,21,38.5608,26.915
383,LOW,32,23,38.5608,26.975
384,LOW,32,26,38.5608,27.065
385,HIGH,32,27,38.5608,27.095
386,HIGH,32,28,38.5608,27.125
387,LOW,33,20,38.5808,26.885
388,LOW,33,22,38.5808,26.945
389,LOW,33,23,38.5808,26.975
390,LOW,33,25,38.5808,27.035
391,HIGH,33,26,38.5808,27.065
392,HIGH,33,27,38.5808,27.095
393,LOW,34,18,38.6008,26.825
394,LOW,34,19,38.6008,26.855
395,LOW,34,20,38.6008,26.885
396,HIGH,34,21,38.6008,26.915
397,LOW,34,24,38.6008,27.005
398,LOW,34,26,38.6008,27.065
399,HIGH,34,30,38.6008,27.185
400,HIGH,35,3,38.6208,26.375
401,LOW,35,17,38.6208,26.795
402,LOW,35,18,38.6208,26.825
403,HIGH,35,20,38.6208,26.885
404,LOW,35,21,38.6208,26.915
405,LOW,35,22,38.6208,26.945
