grid_id,latitude,longitude,burnable,lc_group,clc_code,fire_probability,high_fire_probability,combined_risk_score,predicted_risk_class
103,37.9408,27.215,0,NO_DATA,-128,0.0392918500887943,0.1373526656386383,0.0053968403475696,SAFE_UNBURNABLE
104,37.9408,27.245,0,NO_DATA,-128,0.0379759470152875,0.1366365117654048,0.0051889009311567,SAFE_UNBURNABLE
105,37.9408,27.275,1,OTHER,11,0.835764656534882,0.1597696132348935,0.1335297959299717,LOW_RISK
106,37.9408,27.305,1,OTHER,13,0.885742769120183,0.0830658555682714,0.0735749809303778,LOW_RISK
107,37.9408,27.335,1,OTHER,29,0.7759202378033312,0.2506460067459672,0.1944813091587862,LOW_RISK
108,37.9408,27.365,1,OTHER,2,0.8870061068703784,0.0814421464802026,0.0722396812845716,LOW_RISK
109,37.9408,27.395,1,OTHER,17,0.7838982272126277,0.0867648008142826,0.0680147735427729,LOW_RISK
110,37.9408,27.425,1,OTHER,20,0.7808668762232368,0.1299232045653308,0.1014527268978424,LOW_RISK
111,37.9408,27.455,1,OTHER,32,0.7298165941863097,0.1728357789213316,0.1261384195259042,LOW_RISK
112,37.9408,27.485,1,OTHER,23,0.6680617847086191,0.1537148678676733,0.1026910289639273,LOW_RISK
113,37.9408,27.515,0,NO_DATA,-128,0.0278959117243146,0.1303317496719661,0.0036357229837246,SAFE_UNBURNABLE
114,37.9408,27.545,0,NO_DATA,-128,0.0269509574757385,0.1296467010771503,0.0034941027276,SAFE_UNBURNABLE
115,37.9408,27.575,0,NO_DATA,-128,0.026037155525795,0.1289647192673589,0.0033578744529047,SAFE_UNBURNABLE
116,37.9408,27.605,0,NO_DATA,-128,0.0251535361097402,0.128285796122789,0.0032268414051413,SAFE_UNBURNABLE
117,37.9408,27.635,0,NO_DATA,-128,0.0242991558210073,0.1276099234845811,0.0031008134150586,SAFE_UNBURNABLE
118,37.9408,27.665,0,NO_DATA,-128,0.0234730971568747,0.1269370931556009,0.0029796067204526,SAFE_UNBURNABLE
119,37.9408,27.695,0,NO_DATA,-128,0.022674468052357,0.1262672969012156,0.002863043789644,SAFE_UNBURNABLE
120,37.9408,27.725,0,NO_DATA,-128,0.0219024014042325,0.1256005264500651,0.0027509531468922,SAFE_UNBURNABLE
121,37.9408,27.755,0,NO_DATA,-128,0.0211560545869902,0.1249367734948295,0.002643169199979,SAFE_UNBURNABLE
122,37.9408,27.785,0,NO_DATA,-128,0.0204346089623486,0.1242760296929894,0.0025395320701694,SAFE_UNBURNABLE
123,37.9408,27.815,0,NO_DATA,-128,0.019737269383874,0.1236182866675832,0.002439887424731,SAFE_UNBURNABLE
124,37.9408,27.845,0,NO_DATA,-128,0.0190632636981141,0.1229635360079582,0.0023440863121722,SAFE_UNBURNABLE
125,37.9408,27.875,0,NO_DATA,-128,0.0184118422435462,0.1223117692705169,0.0022519850003377,SAFE_UNBURNABLE
126,37.9408,27.905,0,NO_DATA,-128,0.0177822773485415,0.1216629779794573,0.0021634448174802,SAFE_UNBURNABLE
127,37.9408,27.935,0,NO_DATA,-128,0.0171738628294455,0.1210171536275105,0.0020783319964088,SAFE_UNBURNABLE
128,37.9408,27.965,0,NO_DATA,-128,0.0165859134897808,0.1203742876766696,0.0019965175217992,SAFE_UNBURNABLE
129,37.9408,27.995,0,NO_DATA,-128,0.0160177646214901,0.1197343715589165,0.0019178769807327,SAFE_UNBURNABLE
130,37.9408,28.025,0,NO_DATA,-128,0.015468771509058,0.1190973966769418,0.0018422904165192,SAFE_UNBURNABLE
131,37.9408,28.055,0,NO_DATA,-128,0.01493830893727,0.1184633544048598,0.0017696421858451,SAFE_UNBURNABLE
132,37.9408,28.085,0,NO_DATA,-128,0.0144257707032947,0.1178322360889188,0.0016998208192752,SAFE_UNBURNABLE
133,37.9408,28.115,0,NO_DATA,-128,0.0139305691337075,0.1172040330482051,0.0016327188851273,SAFE_UNBURNABLE
134,37.9408,28.145,0,NO_DATA,-128,0.013452134607009,0.1165787365753427,0.0015682328567265,SAFE_UNBURNABLE
