center_lat,center_lon,burnable,lc_group,clc_code,fire_prob,high_given_fire_prob,high_risk_score,predicted_risk
38.1608,26.555,1,OTHER,28,0.8081523047427976,0.21570308712931052,0.1743209470036888,LOW_RISK
38.1608,26.585,1,OTHER,28,0.8025986506671644,0.21468008026283703,0.17230194274407154,LOW_RISK
38.1608,26.615,1,OTHER,28,0.7969246265407579,0.21366060343641935,0.17027139660004145,LOW_RISK
38.1608,26.645,0,NO_DATA,-128,0.06082632948297127,0.15419174598934215,0.00937891794510234,SAFE_UNBURNABLE
38.1608,26.675,0,NO_DATA,-128,0.05883339228857925,0.15340340661700236,0.009025242799902534,SAFE_UNBURNABLE
38.1608,26.705,0,NO_DATA,-128,0.05690179627627257,0.15261837052631555,0.00868425942770509,SAFE_UNBURNABLE
38.1608,26.735,0,NO_DATA,-128,0.05502990969358074,0.15183663131083447,0.008355556109212734,SAFE_UNBURNABLE
38.1608,26.765,0,NO_DATA,-128,0.05321612745833025,0.15105818249734604,0.008038731493402479,SAFE_UNBURNABLE
38.1608,26.795,0,NO_DATA,-128,0.051458871897368544,0.15028301754678897,0.0077333945482902025,SAFE_UNBURNABLE
38.1608,26.825,1,OTHER,11,0.8748994163745397,0.7079114930497818,0.6193513521140832,HIGH_RISK
38.1608,26.855,1,OTHER,26,0.9176074389510029,0.9998949132411179,0.9175110105593175,HIGH_RISK
38.1608,26.885,1,OTHER,26,0.9148886215405261,0.9373654654978592,0.8575849986090299,HIGH_RISK
38.1608,26.915,1,OTHER,29,0.8212088272362359,0.270892567886416,0.22245936798101612,LOW_RISK
38.1608,26.945,1,OTHER,20,0.8353601224308499,0.9999861674847385,0.8353485672992075,HIGH_RISK
38.1608,26.975,1,OTHER,24,0.8419621265017734,0.9999983140039397,0.8419607069569451,HIGH_RISK
38.1608,27.005,1,OTHER,29,0.8050655233085026,0.9569411153070674,0.7704002997701063,HIGH_RISK
38.1608,27.035,1,OTHER,29,0.7994446876057847,0.3172864946302639,0.2536530025812258,LOW_RISK
38.1608,27.065,1,OTHER,25,0.8310067508697683,0.3085505744829743,0.2564076103800969,LOW_RISK
38.1608,27.095,1,OTHER,24,0.8221772367170971,0.10097219550887793,0.08301704068874774,LOW_RISK
38.1608,27.125,1,OTHER,41,0.5942102509660965,0.1295749135834301,0.07699474191932026,LOW_RISK
38.1608,27.155,1,OTHER,13,0.8820085174168247,0.13577536588745887,0.11975502916812451,LOW_RISK
38.1608,27.185,1,OTHER,13,0.8782708304111136,0.2058629578560709,0.18080343094713947,LOW_RISK
38.1608,27.215,1,OTHER,13,0.8744315987718075,0.08604091778342737,0.07523689729715605,LOW_RISK
38.1608,27.245,1,OTHER,13,0.8704891366089094,0.08556576521010895,0.07448406908102839,LOW_RISK
38.1608,27.275,1,OTHER,32,0.7296288197028425,0.1810796399290484,0.1321209239536473,LOW_RISK
